2018-12-10 09:14:07 Started
2018-12-10 09:14:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 09:19:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 09:24:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 09:29:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 09:34:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 09:39:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 09:44:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 09:49:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 09:54:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 09:59:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 10:04:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 10:09:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 10:14:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 10:19:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 10:24:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 10:29:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 10:34:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 10:39:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 10:44:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 10:49:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 10:54:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 10:59:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 11:04:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 11:09:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 11:14:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 11:19:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 11:24:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 11:29:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 11:34:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 11:39:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 11:44:07 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 11:49:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 11:54:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 11:59:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 12:04:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 12:09:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 12:14:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 12:19:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 12:24:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 12:29:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 12:34:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 12:39:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 12:44:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 12:49:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 12:54:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 12:59:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 13:04:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 13:09:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 13:14:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 13:19:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 13:24:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 13:29:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 13:34:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 13:39:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 13:44:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 13:49:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 13:54:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 13:59:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 14:04:08 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 14:09:34 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 14:14:34 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 14:19:34 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 14:24:34 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 14:29:34 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 14:34:34 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 14:39:34 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 14:44:34 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 14:49:34 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 14:54:34 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 14:59:34 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 15:04:34 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 15:09:34 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 15:14:35 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 15:19:35 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 15:24:35 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 15:29:35 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 15:34:35 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 15:39:35 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 15:44:35 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 15:49:35 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 15:54:35 Payments splintered and 0 successfully sent, 1 failed
2018-12-10 15:59:35 Payments splintered and 0 successfully sent, 1 failed
